TURRTNT_FIX_INTTRTST_ARTA_LABTL	TURRTNT_FIX_START	TURRTNT_FIX_TND	取点	占比				
O	3783	4042						
O	4265	4406						
O	4433	4741						
O	4760	4937						
T	4982	5163						
T	5213	5622						
T	5661	6045						
O	6424	6657						
O	6682	6997						
O	7029	7229						
O	7245	7356						
O	7365	7665						
O	7691	8020						
O	7	293						
T	319	450						
O	486	652						
O	707	942						
O	970	1155						
O	1175	1516						
O	1525	1680						
T	1729	2015						
T	2034	2414						
T	2810	3042						
O	3086	3325						
O	3360	3517						
O	3538	3694						
O	3723	3969						
O	3995	4161						
O	4208	4584						
O	4604	4902						
O	4928	5026						
O	5069	5237						
O	5286	5666						
O	5678	5841						
O	5870	5961						
O	5989	6841						
O	6849	7287						
O	7337	7522						
T	7547	7777						
T	7814	8064						
O	7	269						
T	297	474						
T	558	780						
T	1003	1175						
O	1214	1537						
O	1558	1766						
O	2594	2720						
T	2917	3214						
T	3231	3818						
O	4270	4557						
O	4578	4715						
O	4759	4950						
O	4982	5441						
O	5456	5853						
O	5867	5954						
O	5999	6268						
O	6287	6373						
O	6524	6774						
O	7145	7299						
O	7323	7691						
O	7717	7758						
T	7784	8097						
O	7	254						
T	299	503						
T	521	1079						
T	1129	1273						
T	1295	1586						
T	1598	1818						
T	1868	2169						
T	2192	2512						
T	2645	2691						
T	2700	2883						
T	2908	3087						
T	3115	3354						
T	3364	3440						
T	3479	3559						
T	3566	3836						
T	3899	4166						
T	4174	4341						
T	4364	4992						
T	5004	5340						
T	5360	5536						
T	5555	5827						
T	5844	6000						
O	6510	6604						
O	6627	7080						
O	7098	7382						
O	7402	7774						
T	1172	1389						
T	1410	1763						
O	1821	2025						
T	2047	2382						
O	3486	3752						
O	3792	4046						
O	4066	4241						
O	4292	4569						
O	4633	4886						
O	4901	4954						
O	4985	5327						
O	7889	8103						
T	272	397						
T	437	524						
T	613	671						
T	688	843						
T	867	981						
O	1018	1150						
O	1168	1373						
O	1393	1650						
T	1689	1877						
T	1957	2174						
O	2201	2437						
O	2448	2904						
T	2952	3147						
T	3171	3378						
T	3394	3507						
O	3544	3685						
O	3709	3882						
O	3894	4045						
T	4088	4267						
T	4289	4598						
T	4661	4841						
T	4862	5167						
T	5189	5377						
T	5416	5646						
T	5654	5911						
O	5948	6145						
T	6172	6357						
T	6407	6695						
T	6707	6895						
T	6916	7161						
O	7201	7367						
O	7382	7501						
O	7553	7667						
T	7704	7918						
T	7939	8067						
T	7	272						
T	310	396						
T	418	662						
T	701	942						
O	999	1163						
O	1172	1361						
T	1406	1637						
T	1659	1841						
O	1904	2206						
T	2250	2409						
T	2434	2613						
T	2632	2768						
T	2782	3319						
T	3414	3681						
T	3707	3864						
T	3936	4119						
T	4141	4385						
T	4395	4884						
T	4997	5193						
O	6873	7120						
O	7148	7355						
O	7381	7539						
O	7562	7863						
T	7919	8086						
T	7	301						
T	368	480						
T	524	758						
T	1690	1827						
T	1850	2256						
T	2272	2583						
T	2594	2737						
T	2757	3326						
T	3333	3730						
T	3757	4144						
T	4194	4391						
T	4415	4571						
T	4590	4811						
O	4856	5029						
O	5051	5118						
O	5141	5518						
O	5538	5796						
T	5844	6026						
O	6080	6348						
O	6579	6750						
O	6777	7057						
O	7074	7228						
O	7271	7470						
O	7482	7745						
T	7	278						
T	305	442						
O	502	721						
T	742	907						
T	955	1142						
T	1168	1328						
T	1340	1596						
T	1608	2044						
T	2082	2264						
O	2286	2717						
T	2749	3024						
T	3050	3202						
T	3256	3497						
O	3520	3748						
T	3786	4320						
T	5168	5379						
T	5403	5728						
T	5739	6067						
T	6076	6280						
T	6290	6929						
T	7322	7473						
T	7482	7990						
O	117	291						
T	315	387						
T	410	564						
T	606	772						
T	796	1079						
T	1118	1228						
T	1261	1644						
O	1713	1795						
T	1831	1973						
T	1988	2164						
O	2227	2421						
O	2447	2798						
O	2852	3150						
O	3197	3389						
T	3434	3679						
T	3693	3743						
T	3767	3987						
T	3999	4214						
T	4230	4361						
T	4410	4758						
O	4793	5047						
O	5071	5314						
O	5338	5544						
O	5600	5917						
O	5945	6125						
O	6150	6324						
O	6743	7002						
O	7029	7600						
O	7959	8102						
O	7	306						
O	332	458						
T	485	700						
O	744	931						
O	954	1260						
T	1300	1504						
T	1518	1771						
T	1781	2007						
O	2051	2259						
O	2729	2929						
T	2965	3178						
O	3231	3394						
T	3421	3574						
T	3589	3796						
T	3823	4102						
T	4121	4407						
T	4422	4712						
O	4750	4992						
T	5034	5258						
T	5273	5418						
O	5459	5645						
T	5685	5840						
T	5851	6023						
O	6067	6249						
O	6267	6538						
T	6820	6991						
T	7000	7347						
T	7363	7675						
T	7695	8094						
O	7	210						
O	235	359						
T	401	576						
T	620	833						
O	881	1122						
T	1168	1467						
T	1500	1667						
T	1695	1856						
T	1892	2246						
O	2303	2459						
T	2500	2688						
T	2711	3016						
T	3026	3488						
T	3507	3808						
O	3846	4085						
O	4130	4243						
O	4270	4572						
O	4614	4913						
T	4985	5165						
O	5324	5426						
O	5433	5518						
O	5536	5701						
O	5708	5902						
O	5951	6178						
O	6203	6296						
O	6865	7135						
O	7162	7698						
T	7742	8002						
T	8013	8090						
O	7	263						
O	302	466						
O	909	1161						
O	1216	1382						
T	1410	1648						
T	1670	1941						
O	1992	2228						
O	2278	2507						
O	4057	4590						
O	4604	5086						
T	5140	5314						
T	5335	5514						
T	5525	5818						
T	5868	6083						
T	6095	6657						
T	6692	6887						
T	6904	7055						
T	7068	7273						
T	7282	7737						
T	7748	7996						
T	7	71						
T	530	807						
T	868	1395						
O	1434	1536						
O	1733	1878						
T	1940	2089						
T	2112	2276						
T	2353	2683						
O	2751	2999						
O	3379	3537						
O	3570	3792						
O	3849	4115						
O	4142	4315						
O	4343	4702						
O	4752	4990						
O	5003	5213						
T	5267	5472						
T	5495	5624						
T	5680	5937						
T	5953	6164						
T	6177	6393						
T	6435	6897						
T	6916	7408						
T	7428	7979						
O	437	567						
T	601	812						
T	1208	1355						
T	1378	1838						
T	1860	2021						
T	2040	2412						
T	2440	2771						
O	2827	3095						
O	3150	3306						
T	3329	3586						
T	3603	3709						
T	3733	3889						
T	3934	4167						
T	4188	4298						
T	4376	4483						
O	4741	4969						
T	5249	5988						
T	7182	7370						
T	7391	7962						
O	8017	8100						
T	354	609						
T	630	998						
T	1014	1201						
T	1265	1443						
T	1468	1741						
T	1781	2122						
T	2146	2221						
T	2276	2553						
T	2574	2754						
O	2814	3018						
T	3061	3310						
O	3359	3558						
O	3922	4075						
O	4099	5123						
T	5207	5547						
T	5564	5961						
T	5980	6356						
T	6371	6480						
O	6536	6698						
O	7167	7376						
T	310	505						
T	657	869						
T	893	1214						
T	1225	1442						
T	1470	1780						
T	1791	2232						
T	2247	2719						
T	2782	2969						
T	2986	3216						
T	3233	3294						
O	3345	3539						
O	3553	3712						
O	3754	3976						
O	4438	4641						
O	4663	4861						
T	4886	5159						
O	5694	5793						
O	6040	6372						
O	6396	6580						
O	6604	7209						
O	7431	7770						
O	7792	8091						
O	7	242						
T	279	347						
T	374	450						
T	666	807						
T	823	1162						
O	1217	1451						
O	1492	1652						
T	1700	1781						
O	2001	2350						
O	2381	2834						
T	2877	3044						
T	3091	3360						
O	3757	3965						
O	4012	4201						
O	4223	4408						
O	4459	4726						
O	4746	5065						
O	5083	5541						
O	5568	5796						
O	5832	6032						
O	6069	6313						
T	6339	7043						
T	7355	7433						
T	7460	7517						
O	7559	7776						
O	7796	8095						
O	7	236						
T	407	585						
T	606	735						
T	949	1176						
T	1219	1359						
T	1386	1749						
T	1775	1941						
T	1954	2198						
T	2230	2704						
T	2713	2911						
T	2934	3233						
T	3260	3392						
O	3435	3632						
O	3649	3816						
O	3855	4049						
T	4104	4307						
T	4367	4556						
T	4596	4864						
T	4894	5067						
T	5094	5398						
O	5638	5766						
O	5786	6110						
T	6150	6451						
T	6667	6844						
T	6859	7014						
T	7078	7370						
T	7388	7551						
O	7	234						
O	282	418						
T	440	753						
T	769	805						
T	853	1094						
T	1111	1483						
T	1504	1686						
T	1704	1973						
T	1987	2381						
T	2406	2830						
T	2873	3011						
T	3030	3327						
T	3377	3535						
T	3555	3689						
T	3740	3994						
O	4048	4446						
T	4462	5777						
T	5826	5920						
O	5963	6113						
O	6136	6406						
T	6429	6478						
T	6495	6850						
O	6895	7160						
O	7418	7457						
O	7481	7508						
T	7763	7943						
T	7960	8100						
T	7	362						
T	384	558						
T	603	803						
T	821	1001						
T	1023	1087						
T	1118	1168						
T	1277	1345						
T	1362	1389						
T	1704	1902						
T	1925	2139						
T	2157	2276						
T	2564	2671						
T	2693	2897						
T	2915	3091						
T	3146	3722						
T	3732	3965						
T	3980	4312						
T	4367	4619						
T	4637	4949						
T	4974	5228						
T	5235	5726						
T	5735	5879						
T	5898	6313						
O	6352	6543						
T	6590	6739						
O	6773	7303						
O	7337	7628						
T	7687	7910						
T	7925	8100						
T	7	292						
T	318	439						
T	636	711						
T	734	861						
T	873	1341						
T	1352	1671						
T	1691	1871						
T	1892	1993						
T	2210	2387						
T	2402	2670						
T	2680	2835						
T	2890	3092						
T	3116	3292						
T	3333	3507						
T	3550	3714						
T	3735	3945						
T	3958	4246						
T	4587	5126						
O	7	202						
T	294	416						
T	442	647						
T	673	855						
T	872	940						
T	996	1271						
T	1311	1525						
T	1590	1899						
T	1923	2221						
T	2247	2477						
T	2500	2689						
T	2712	2889						
T	2952	3211						
T	3233	3463						
T	3489	3681						
T	3704	3889						
T	3925	4107						
T	4148	4197						
T	4239	4333						
T	4992	5147						
T	5169	5444						
O	5491	5620						
T	5670	5828						
T	5879	6150						
T	6171	6520						
O	6780	6951						
O	7005	7237						
O	7263	7445						
T	7	221						
T	248	384						
T	403	533						
T	568	712						
O	761	1027						
O	1045	1362						
O	1387	1534						
O	1558	1772						
O	1798	2230						
O	2261	2615						
O	2631	3258						
O	3292	3600						
T	3642	4006						
T	4027	4189						
T	4230	4573						
T	4591	4827						
O	5251	5536						
O	5548	5718						
O	5731	6042						
O	6052	6707						
O	6742	7065						
O	7090	7416						
O	7434	7842						
O	7856	8039						
T	7	182						
T	225	391						
T	406	604						
O	650	902						
T	936	1137						
O	1179	1426						
O	1436	1556						
O	1586	1829						
O	1861	2070						
O	2090	2718						
O	2785	2977						
O	2986	3082						
T	3106	3418						
T	3439	3609						
T	3636	3885						
O	4329	4804						
O	4822	5045						
T	5100	5232						
O	5260	5457						
O	5477	5615						
O	5653	6005						
O	6039	6212						
O	6224	6769						
T	6795	6983						
T	6998	7101						
T	7125	7346						
T	7367	7577						
T	7609	7848						
T	7869	8104						
O	7	254						
O	285	398						
O	441	626						
T	892	1290						
O	1340	1490						
O	1517	1697						
O	1720	1925						
T	1967	2193						
O	3164	3330						
T	3369	3501						
T	3526	3890						
T	3914	4101						
T	4116	4520						
T	4543	4780						
T	4791	5752						
T	5778	5964						
T	5978	6461						
T	6480	7000						
T	7021	7282						
T	7295	7637						
O	7676	8058						
O	7	49						
O	61	258						
T	430	561						
T	581	724						
T	736	900						
T	913	1136						
T	1198	1423						
T	1462	1592						
T	1639	1937						
T	1950	2210						
T	2226	2480						
T	2506	2836						
T	2853	3005						
T	3032	3248						
T	3262	3379						
O	3423	3790						
O	3804	3942						
O	3968	4139						
O	4159	4330						
O	4385	4552						
T	4595	4766						
T	4785	4922						
T	4987	5305						
T	5328	5578						
T	5628	5874						
T	5896	6151						
T	6170	6686						
T	6702	6930						
T	6942	7110						
T	7137	7475						
O	7613	7784						
O	7801	8025						
O	8033	8091						
T	7	323						
O	371	464						
O	498	700						
O	715	970						
O	983	1105						
T	1407	1472						
T	1691	1839						
O	2968	3112						
O	3134	3420						
O	3437	3631						
O	4033	4225						
O	4270	4427						
O	4453	4797						
O	4837	5106						
O	5118	5268						
T	5327	5606						
T	5629	6144						
T	6173	6637						
T	6647	6899						
O	7195	7363						
O	246	392						
T	430	673						
T	702	897						
T	917	1066						
T	1083	1268						
T	1289	1433						
T	1751	1911						
T	1951	2177						
T	2196	2793						
T	2824	3051						
T	3085	3449						
T	3861	4058						
T	4079	4391						
T	4668	5000						
T	5081	5486						
O	5549	5694						
O	5716	5825						
O	5850	6105						
O	6130	6582						
O	6628	6875						
O	6905	7179						
T	7477	7566						
T	7614	7867						
T	7898	8052						
O	7	171						
O	194	328						
T	381	535						
T	553	883						
T	931	1110						
T	1129	1209						
T	2254	2478						
T	2488	3064						
T	3110	3502						
T	3657	3919						
T	3934	4431						
T	4445	4666						
O	4727	4892						
O	4914	5015						
O	5461	5710						
T	5761	6012						
O	6873	7203						
T	7244	7465						
T	7476	7700						
T	7719	7892						
T	7907	8093						
T	7	46						
T	71	288						
T	330	491						
T	532	662						
T	696	959						
T	985	1132						
T	1168	1596						
T	1651	2019						
O	2586	2838						
O	2875	2978						
T	3024	3241						
T	3300	3538						
T	3577	3825						
T	3874	4191						
T	4211	4455						
T	4499	4965						
T	5004	5365						
T	5382	5716						
T	5732	6034						
T	6054	6264						
T	6278	6384						
T	6419	6835						
T	6891	7103						
T	7133	7497						
T	7545	7877						
T	7891	8089						
O	159	264						
T	313	465						
T	489	608						
T	633	1031						
T	1039	1273						
T	1305	1595						
T	1602	3328						
T	3342	3558						
T	3601	3800						
T	3818	4032						
T	4053	4349						
T	4379	4562						
T	4586	4717						
T	4781	5037						
T	5057	5378						
T	5413	5692						
T	5703	5943						
T	5962	6304						
T	6348	6714						
T	6728	6878						
T	6898	7381						
T	7416	7703						
T	7712	8102						
T	7	586						
T	620	879						
T	893	1045						
T	1061	1403						
T	1413	1686						
T	1742	1920						
T	1948	2111						
T	2134	2531						
T	2558	2997						
T	3017	3178						
T	3203	3473						
T	3778	3979						
T	3990	4204						
T	4223	4522						
T	4543	4854						
T	4862	5178						
T	5198	5393						
T	5407	5633						
T	5655	5869						
T	5920	6219						
T	6236	6481						
T	6500	6672						
T	6698	6926						
T	6936	7235						
T	7247	7590						
T	7631	7784						
T	7799	8076						
O	7	60						
O	70	495						
O	516	849						
O	889	1194						
T	1248	1441						
T	1492	1625						
T	1647	1917						
T	1930	2262						
T	2294	2426						
T	2454	2794						
T	2801	3039						
O	3087	3512						
O	5922	6605						
O	6629	6897						
O	6925	7107						
O	7127	7438						
O	7450	7718						
O	7732	7882						
O	7	446						
T	470	610						
T	634	799						
T	821	1098						
T	1113	1346						
T	1373	1574						
T	1591	1784						
T	1800	1956						
T	1982	2235						
T	2245	2473						
O	2525	2748						
O	2793	2927						
O	2952	3547						
O	3571	4165						
O	4214	4372						
O	4388	5523						
O	5575	5871						
O	5885	6099						
O	6645	6818						
O	6858	7039						
O	7062	7217						
O	7228	7600						
O	7629	7976						
O	8014	8091						
T	7	317						
T	344	504						
T	527	754						
T	770	1002						
T	1047	1342						
T	1365	1442						
O	1494	2068						
T	2109	2313						
T	2337	2670						
T	2678	2791						
O	2844	3131						
O	3152	3567						
O	3612	3787						
O	3806	4336						
O	4362	4688						
O	4711	4977						
O	4999	5320						
O	5348	5646						
O	5681	6025						
O	6049	6527						
O	6587	6944						
O	6966	7354						
O	8044	8105						
O	12	419						
T	445	638						
T	653	879						
T	979	2354						
T	2366	2671						
O	2730	2869						
T	2913	3087						
T	3105	3269						
O	3546	3816						
T	3888	4148						
T	4165	4403						
T	4589	4776						
T	4802	5079						
T	5101	5213						
T	5268	5626						
T	5850	6327						
T	7000	7143						
T	7176	7636						
T	7662	7889						
T	7911	8091						
T	7	277						
T	304	538						
T	564	836						
T	861	1061						
T	1102	1334						
T	1374	1488						
O	1712	2025						
O	2076	2347						
T	2627	2822						
T	2853	3152						
O	3903	4133						
O	4149	4318						
O	4325	4640						
O	4660	4891						
O	4925	5094						
O	5126	5479						
O	5536	5796						
O	5820	6147						
O	6643	6880						
O	6915	7128						
O	7198	7367						
O	7379	7552						
O	7586	7777						
O	7812	8086						
T	363	601						
T	615	718						
T	746	1033						
T	1042	1636						
T	1657	1759						
T	1801	1988						
T	2009	2417						
T	2425	2714						
T	3567	3850						
T	3871	4327						
T	4381	4534						
T	4554	4716						
O	4759	5051						
O	5063	5294						
T	6067	6423						
O	7	290						
T	322	565						
T	591	891						
T	915	1105						
T	1136	1517						
T	1541	1732						
T	1760	2089						
T	2110	2364						
O	2403	2617						
O	2632	2744						
T	3423	3718						
T	4197	4399						
O	4424	4727						
O	4739	4883						
O	4960	5139						
O	5158	5492						
O	5506	5624						
O	5692	6021						
O	6047	6407						
O	6438	6694						
O	6718	6740						
O	6788	6932						
O	7003	7338						
O	7385	7631						
O	7657	7864						
O	7900	8094						
O	7	63						
O	87	282						
T	333	459						
T	486	625						
O	653	929						
O	952	1377						
O	1395	1639						
O	1659	1965						
O	1981	2312						
T	2374	2484						
T	2534	2836						
T	2859	3006						
T	3074	3281						
T	3306	3569						
T	3580	3926						
T	3938	4060						
O	4107	4336						
O	4364	4568						
O	4621	4992						
T	5049	5234						
T	5250	5744						
T	5761	5975						
T	6048	6166						
O	6288	6501						
O	6546	6718						
O	7838	8090						
O	7	114						
T	343	837						
T	862	1229						
O	1717	2014						
O	2065	2382						
O	2407	2548						
O	2598	2838						
O	2849	3010						
T	4148	4471						
T	4498	4963						
O	5017	5242						
O	5276	5473						
O	5486	5676						
O	5686	6076						
O	6084	6273						
O	6305	6480						
O	6500	6944						
O	6952	7326						
O	7333	7471						
O	7483	7687						
O	7712	7957						
O	7983	8090						
O	7	274						
O	286	324						
O	343	681						
O	691	905						
T	919	1388						
T	1404	1856						
T	1872	2283						
O	2326	2632						
T	2680	3008						
T	3034	3159						
O	3200	3384						
O	3416	3629						
T	3653	3860						
O	4796	4965						
O	4990	5222						
O	5241	5559						
O	6628	6920						
O	6945	7120						
O	7159	7412						
O	7450	7906						
O	7933	8102						
O	7	269						
T	397	638						
T	645	960						
T	977	1316						
T	1336	1695						
T	1713	2093						
T	2117	2633						
T	2656	3325						
T	3384	3553						
T	3579	3709						
T	3729	4151						
O	4942	5182						
O	5212	5478						
O	5510	5743						
O	5765	5917						
O	5931	6262						
T	6334	6564						
T	6921	7152						
T	7161	7357						
T	7414	7667						
T	7683	7943						
T	7967	8097						
T	375	773						
T	792	1235						
T	1247	1415						
T	1439	2015						
O	3479	3744						
T	4224	4442						
T	4449	4650						
O	4670	5029						
O	5066	5328						
O	5357	5658						
O	5681	5936						
O	5972	6188						
O	6201	6446						
O	6478	6670						
O	6763	6924						
O	7072	7147						
T	162	281						
T	334	534						
T	558	708						
T	730	887						
T	907	1076						
T	1090	1266						
T	1290	1531						
T	1554	1793						
T	1812	1925						
T	1958	2105						
T	2126	2242						
O	2270	2413						
O	2444	2706						
O	2731	2857						
T	2908	3308						
T	3332	3667						
T	3682	3998						
T	4056	4270						
T	4283	4730						
T	4750	4945						
T	4969	5091						
T	5121	5279						
T	5295	5522						
T	5532	5998						
T	6033	6466						
T	6474	6916						
T	6939	7100						
T	7110	7187						
O	7229	7602						
O	7672	7889						
O	7906	8093						
T	7	261						
T	277	461						
T	489	724						
O	750	1228						
T	1253	1443						
T	1482	1661						
T	1686	1930						
T	1977	2278						
T	2304	2531						
O	2572	3118						
T	3160	3511						
T	3548	3755						
T	3806	3961						
T	3987	4232						
O	4285	4550						
O	4592	4859						
O	4880	5004						
T	5074	5238						
T	5264	5428						
T	5449	5469						
T	5490	5753						
O	5817	6092						
O	6126	6256						
T	6300	6692						
T	7063	7324						
O	7376	7723						
O	7749	8028						
O	8051	8093						
O	95	151						
T	452	633						
T	648	867						
T	893	1087						
T	1112	1221						
T	1254	1446						
T	1466	1615						
T	1640	1815						
T	1849	2187						
T	2208	2464						
T	2488	2741						
T	2766	2862						
T	2897	3181						
T	3197	3499						
T	3516	3835						
T	3844	4140						
T	4174	4358						
T	4381	4565						
T	4585	4961						
T	4995	5236						
T	5257	5500						
O	5532	5735						
O	5776	6068						
O	6084	6254						
O	6263	6479						
O	6502	6924						
O	6943	7186						
O	7194	7587						
O	7604	7905						
O	7954	8093						
T	7	264						
T	292	493						
O	519	917						
O	943	1435						
T	1487	1642						
T	1660	2121						
T	2130	2390						
T	2401	2679						
T	3030	3198						
O	3225	3456						
O	3476	3599						
O	3653	4071						
T	4080	4214						
O	7717	8041						
O	7	303						
T	340	458						
T	482	715						
T	733	1036						
T	1058	1324						
T	1366	1647						
T	1667	1982						
T	2005	2662						
T	2683	2943						
T	2968	3162						
T	3193	3423						
T	3445	3595						
T	3621	3886						
T	4360	4673						
T	4699	5129						
T	5154	5420						
T	5443	5786						
T	5812	6258						
O	6322	6493						
T	6739	6935						
O	6959	7311						
O	7334	7459						
O	7	237						
T	265	425						
O	453	560						
O	587	937						
O	959	1127						
O	1140	1509						
O	1523	1786						
O	1793	2008						
O	2042	2417						
O	2425	2557						
T	2606	2859						
T	2918	3319						
T	3339	3814						
T	3833	4273						
T	4286	4536						
T	4546	4748						
T	4764	5063						
T	5080	5278						
O	5329	5580						
T	5623	5754						
T	5772	6031						
T	6055	6304						
T	6327	6559						
T	6569	6783						
T	6805	7121						
T	7146	7395						
T	7410	7654						
O	7708	7919						
O	7938	8079						
O	7	191						
T	224	469						
T	494	674						
O	713	896						
O	919	1235						
T	1264	1485						
T	1514	1675						
T	1704	2061						
T	2083	2304						
T	2331	2483						
T	2506	2626						
T	2856	3029						
T	3051	3433						
O	3494	3720						
O	3765	4013						
O	4052	4533						
O	4553	5112						
O	5128	5304						
O	5366	5531						
O	5554	5718						
O	5767	6192						
O	6220	6460						
O	6483	6656						
O	6671	6847						
O	6916	7104						
O	7154	7435						
O	7476	7649						
O	7699	8096						
O	7	277						
O	284	404						
O	428	567						
O	841	1618						
O	1635	1907						
O	1917	2396						
O	2410	2666						
O	2727	2924						
T	2945	3286						
T	3305	3446						
T	3466	4262						
T	4703	4945						
T	6124	6477						
O	6501	6779						
O	6805	6993						
O	7032	7385						
O	7401	7556						
O	7582	7796						
O	7827	8076						
T	7	289						
T	477	607						
T	630	1011						
T	1025	1407						
T	1432	1843						
T	1916	2131						
T	2157	2387						
T	2404	2837						
T	2860	3025						
T	3060	3474						
T	3523	3795						
T	3816	4092						
T	4114	4373						
T	4417	4739						
T	4759	5005						
T	5018	5213						
T	5223	5525						
T	5541	5825						
T	5839	6069						
T	6086	6468						
O	6500	6668						
O	6687	7267						
O	7293	7423						
O	7443	7672						
T	7970	8108						
T	279	509						
T	535	686						
T	714	873						
T	931	1129						
T	1152	1332						
T	1349	1605						
T	1623	1880						
O	1905	2073						
T	2296	2576						
T	2597	2783						
T	3084	3218						
T	3250	3463						
T	3485	3589						
T	3608	3939						
O	3988	4173						
T	4448	4724						
T	4788	5045						
O	5104	5293						
O	5320	5498						
O	5562	5759						
O	5796	5953						
O	5974	6174						
O	6187	6320						
O	6396	6745						
O	7603	7877						
T	7	311						
T	369	519						
T	542	844						
T	869	1057						
T	1393	1551						
T	1568	1994						
T	2015	2362						
T	2389	2817						
T	2834	3241						
T	3257	3610						
T	3635	3974						
T	3989	4299						
T	4324	4640						
T	4669	4932						
T	4953	5157						
T	5173	5367						
T	5440	5586						
T	5612	5803						
T	5831	6065						
T	6095	6365						
T	6391	6449						
T	6488	6714						
O	6787	7005						
T	7213	7763						
O	7930	8096						
O	7	290						
O	2999	3149						
O	3169	3652						
T	3701	3851						
T	3875	4121						
T	4139	4270						
O	4879	5207						
O	5227	5388						
O	5399	5750						
O	5779	6038						
O	6057	6169						
T	6376	6485						
O	6545	6770						
O	6791	6938						
O	6994	7368						
O	7419	7572						
O	7592	7853						
O	7	283						
O	309	443						
T	455	618						
T	635	894						
T	911	1304						
T	1322	1820						
T	1830	2261						
T	2271	2472						
T	2502	3268						
T	3278	3738						
T	3764	4425						
T	4436	4595						
T	4608	4699						
T	4740	4954						
T	4985	5235						
O	5504	5737						
O	5748	6106						
T	6165	6363						
T	6382	6615						
O	6676	6917						
O	6939	7174						
O	7196	7392						
O	7411	7563						
O	7571	7815						
O	7832	7999						
O	8041	8100						
O	7	206						
T	385	630						
T	667	820						
T	867	1076						
T	1100	1315						
T	1366	1734						
T	1757	1824						
T	2108	2394						
T	2854	3202						
T	3217	3499						
O	3550	3752						
T	3807	4064						
T	4094	4395						
T	4404	4649						
T	4660	4952						
T	4995	5303						
T	5326	5548						
T	5572	5758						
T	5781	6201						
T	6212	6640						
T	6655	7526						
O	7585	7827						
O	7870	8087						
O	7	288						
T	325	536						
T	990	1169						
T	1204	1575						
T	1605	1875						
T	1901	2170						
T	2194	2623						
T	2656	3052						
T	3072	3232						
T	3272	3483						
T	3491	3814						
T	3835	4052						
T	4076	4413						
T	4424	4571						
T	4635	5635						
T	5660	6053						
T	6072	7638						
T	7649	8096						
T	7	402						
O	439	637						
T	709	1045						
T	1071	1590						
T	1616	1992						
T	2016	2253						
T	2276	2618						
T	2643	2774						
T	2972	3192						
T	3213	3475						
T	3493	3681						
T	3701	3924						
T	3963	4234						
T	4255	4689						
T	4696	4984						
T	5012	5232						
T	5251	5436						
T	5666	6147						
T	6168	6423						
T	6715	7086						
T	7110	7348						
T	7410	7575						
T	7612	7891						
T	7908	8028						
T	8057	8103						
T	7	232						
T	253	342						
T	380	613						
T	639	795						
T	829	1043						
T	1069	1308						
T	1334	1523						
T	1543	1770						
T	1814	2158						
T	2177	2634						
T	2659	2884						
T	2907	3079						
T	3136	3293						
T	3313	3566						
T	3584	3870						
T	3879	3984						
T	4012	4318						
T	4332	4494						
T	4550	4745						
T	4788	4984						
T	5004	5170						
T	5212	5476						
T	5485	5953						
T	5984	6186						
T	6196	6669						
T	7885	8004						
O	7	272						
T	318	541						
T	551	715						
T	756	994						
T	1016	1342						
T	1366	1577						
T	1599	1942						
T	1968	2162						
T	2184	2447						
T	2484	2722						
O	2784	2977						
O	2998	3132						
T	3176	3520						
T	3545	4612						
T	4635	4803						
T	4852	4981						
T	5009	5355						
T	5386	5572						
T	5595	5935						
T	5960	6293						
T	6335	6507						
T	6569	7035						
O	7089	7370						
O	7414	7550						
T	7588	7847						
T	7867	8036						
T	7	242						
T	265	430						
T	451	630						
T	643	996						
T	1021	1306						
T	1329	1462						
T	1503	1705						
T	1726	1896						
T	1919	2285						
T	2310	2587						
T	2610	2863						
O	3321	3459						
O	3488	3639						
O	3663	3875						
O	3910	4041						
O	4474	4722						
O	4736	4976						
O	5001	5298						
O	5329	5603						
O	5630	5877						
O	5905	6391						
O	6399	6813						
T	6884	7137						
T	7154	7350						
T	7358	7491						
T	7523	7668						
T	7702	8097						
T	7	262						
T	302	470						
T	484	734						
T	752	997						
T	1026	1217						
T	1238	1278						
T	2084	2412						
T	2437	2580						
T	2610	2916						
T	2937	3087						
T	3111	3166						
O	3210	3388						
O	3400	3602						
O	3623	3895						
O	3918	4286						
O	4321	4601						
O	4626	4845						
O	4869	5155						
T	5235	5504						
T	5541	5706						
T	5721	5928						
T	5945	6211						
T	6264	6439						
T	6460	6783						
T	6801	6960						
T	6986	7150						
T	7365	7548						
T	7570	7818						
T	7838	8088						
O	7	498						
T	552	1274						
T	1281	1606						
O	1632	1905						
T	1964	2191						
T	2206	2623						
O	2665	2987						
T	3218	3521						
T	3541	3704						
T	3721	3939						
T	3960	4230						
T	4252	4543						
O	4622	4771						
O	4805	5099						
O	5162	5434						
O	5459	5663						
T	5712	5854						
T	5868	6313						
T	6340	6617						
T	6643	6827						
T	6843	7222						
O	7259	7466						
T	7502	7806						
T	7813	8097						
O	7	278						
O	322	531						
T	556	725						
T	745	939						
T	961	1354						
T	1375	1689						
T	1707	1842						
T	1873	2049						
T	2059	2284						
T	2307	2546						
T	2577	2870						
T	2892	3099						
T	3136	3537						
T	3548	3782						
T	3802	4089						
T	4112	4368						
T	4392	4519						
T	4854	5134						
T	5165	5411						
T	5438	5781						
T	5805	6057						
T	6080	6261						
T	6299	6593						
T	6619	6666						
T	6691	6876						
T	6902	7210						
