TURRTNT_FIX_INTTRTST_ARTA_LABTL	TURRTNT_FIX_START	TURRTNT_FIX_TND	取点	占比				
T	466	665					2440	0
T	709	985					2450	0
T	1008	1359					2460	0
T	1406	1584					2470	0
O	1612	1887					2480	0
O	2185	2458					2490	0
O	2486	3116					2500	1
O	3148	3450					2510	0
O	3497	3883					2520	0
T	3937	4213					2530	0
T	4231	4739					2540	0
T	4789	5033					2550	0
T	5054	5568					2560	0
T	5588	5851					2570	0
T	5909	6145					2580	0
T	6170	6537					2590	0
O	6565	6847					2600	0
O	6874	7134					2610	0
O	7159	7250					2620	0
T	7323	7572					2630	0
T	7604	7796					2640	0
T	7814	8089					2650	0
O	7	233					2660	0
O	270	414					2670	0
T	458	778					2680	0
T	799	1028					2690	0
T	1051	1305					2700	0
T	1322	1618					2710	0
O	1665	1821					2720	0
T	1849	2028					2730	0
T	2052	2215					2740	0
T	2235	2483					2750	0
O	2542	2915					2760	1
O	2955	3209					2770	0
O	3233	3473					2780	0
O	3509	3806					2790	0
T	3852	4022					2800	0
T	4052	4291					2810	0
T	4338	4706					2820	0
T	4731	5301					2830	0
T	5325	5794					2840	0
O	5831	6197					2850	0
O	6274	6435					2860	0
O	6473	6654					2870	0
O	6684	6954					2880	0
O	6979	7262					2890	0
O	7281	7494					2900	0
O	7561	7840					2910	0
O	7895	8101					2920	0
T	444	633					2930	0
T	659	1062					2940	0
T	1083	1494					2950	0
O	1569	1749					2960	0
O	1775	2016					2970	0
O	2566	2940					2980	0
T	2983	3160					2990	1
T	3182	3512					3000	0
T	3536	3791					3010	0
O	3845	4038					3020	0
T	4272	4665					3030	0
T	4682	4945					3040	0
O	4988	5179					3050	0
T	5204	5400					3060	0
T	5723	6138					3070	0
T	6160	6187					3080	0
O	6746	7083					3090	0
O	7137	7405					3100	0
O	7503	7658					3110	0
O	7706	7947					3120	0
O	8024	8101					3130	0
O	276	437					3140	0
T	462	872					3150	0
T	881	1004					3160	0
T	1047	1196					3170	0
T	1217	1381					3180	0
T	1398	1655					3190	0
T	1681	1927					3200	0
T	1961	2109					3210	0
O	2140	2295					3220	0
O	2318	2412					3230	0
T	2470	2694					3240	0
T	2717	3027					3250	0
T	3067	3237					3260	0
T	3252	3700					3270	1
T	3720	3893					3280	0
T	3925	4812					3290	0
O	4853	4980					3300	0
T	5031	5319					3310	0
O	5357	5506					3320	0
O	5524	5735					3330	0
O	5765	5915					3340	0
T	5957	6139					3350	0
T	6160	6514					3360	0
T	6552	6897					3370	0
T	6942	7080					3380	0
T	7105	7288					3390	0
T	7311	7400					3400	0
T	7633	7834					3410	0
T	7876	8097					3420	0
T	7	318					3430	0
O	344	643					3440	0
O	656	979					3450	0
T	1004	1266					3460	0
T	1289	1601					3470	0
T	1625	1813					3480	0
T	1837	1978					3490	0
T	2016	2247					3500	0
T	2411	2436					3510	0
T	2457	3120					3520	0
T	3377	3485					3530	0
T	3508	3609					3540	1
T	3634	3794					3550	0
T	3812	3934					3560	0
O	3992	4304					3570	0
O	4343	4765					3580	0
O	4799	5019					3590	0
O	5058	5132					3600	0
O	5214	5259					3610	0
T	6476	6791					3620	0
O	7521	7745					3630	0
T	7826	8103					3640	0
T	7	254					3650	0
T	296	481					3660	0
T	505	846					3670	0
T	893	1098					3680	0
T	1117	1312					3690	0
T	1361	1473					3700	0
T	1535	1728					3710	0
T	1954	2176					3720	0
O	2206	2384					3730	0
O	2402	2494					3740	0
O	2539	2810					3750	0
O	2836	3178					3760	0
O	3194	3374					3770	0
O	3412	3568					3780	0
O	3618	3945					3790	1
O	4004	4148					3800	0
O	4170	4347					3810	0
T	4412	4626					3820	0
T	4645	5038					3830	0
O	5080	5383					3840	0
O	5418	5620					3850	0
O	5672	5930					3860	0
O	5977	6169					3870	0
O	6227	6491					3880	0
O	6516	6721					3890	0
O	6790	6984					3900	0
O	7011	7140					3910	0
O	7190	7386					3920	0
O	7415	7696					3930	0
O	7722	7892					3940	0
O	7947	8055					3950	0
T	7	243					3960	0
O	287	565					3970	0
O	580	1287					3980	0
T	1323	1619					3990	0
T	1644	1832					4000	0
T	1845	2013					4010	0
T	2071	2347					4020	0
O	2373	2987					4030	0
T	3229	3471					4040	0
T	3489	3928					4050	0
O	3968	4729					4060	1
T	4766	5123					4070	0
T	5147	5461					4080	0
T	5480	5871					4090	0
O	5913	6056					4100	0
T	6077	6324					4110	0
O	6347	6562					4120	0
T	6595	6756					4130	0
T	6889	6910					4140	0
O	7410	7678					4150	0
O	7700	7811					4160	0
O	7	164					4170	0
T	201	352					4180	0
T	378	648					4190	0
T	694	921					4200	0
T	954	1217					4210	0
T	1261	1660					4220	0
T	1684	2300					4230	0
T	2317	2755					4240	0
O	2818	3260					4250	0
O	3281	3421					4260	0
T	3467	3706					4270	0
T	3726	3923					4280	0
O	3969	4202					4290	0
T	4244	4453					4300	1
O	4505	4726					4310	0
O	4746	5111					4320	0
T	5392	5616					4330	0
T	5631	6033					4340	0
O	6061	6461					4350	0
O	6529	6834					4360	0
O	6878	7143					4370	0
T	7171	7501					4380	0
T	7527	7811					4390	0
O	7885	8050					4400	0
O	7	250					4410	0
O	437	596					4420	0
O	610	762					4430	0
T	987	1260					4440	0
T	1272	1493					4450	0
T	1547	1907					4460	0
T	1928	2159					4470	0
T	2180	2368					4480	0
T	2384	2565					4490	0
O	2593	2776					4500	0
T	3101	3262					4510	0
T	3291	3662					4520	0
T	3679	3966					4530	0
O	4031	4285					4540	0
O	4312	4562					4550	1
O	5027	5293					4560	0
O	5326	5963					4570	0
O	5987	6551					4580	0
O	6611	6699					4590	0
O	6734	6920					4600	0
O	7356	7617					4610	0
T	7649	7790					4620	0
O	7	164					4630	0
T	320	599					4640	0
O	641	1090					4650	0
T	1133	1310					4660	0
T	1354	1511					4670	0
T	1555	1755					4680	0
T	1776	2095					4690	0
O	2150	2425					4700	0
T	2482	2655					4710	0
T	2687	3200					4720	0
T	3239	3424					4730	0
T	3489	3834					4740	0
O	3861	4223					4750	0
O	4278	4567					4760	0
O	4592	4793					4770	1
O	4848	5157					4780	0
O	5186	5338					4790	0
O	5383	5685					4800	0
O	5765	6004					4810	0
O	6040	6158					4820	0
